,Unnamed: 0,User Name,Status,Received,Complete,Decision,Type,Sent,grant,GPA,LSAT_x,Last Updated,Year,Law School,match,rank_2018,Tuition,FT Enrollment,Location,threshold,rank_2012,rank_2013,rank_2014,rank_2015,score 2012,score 2013,score 2014,score 2015,score 2009,score 2010,score 2011,rank_2009,rank_2010,rank_2011,rank_2000,rank_2001,rank_2002,rank_2003,rank_2004,rank_2005,rank_2006,rank_2007,rank_2008,rank_1987,rank_1990,rank_1991,rank_1992,rank_1993,rank_1994,rank_1995,rank_1996,rank_1997,rank_1998,rank_1999,Status_Final,Defer,Waitlist,Attend,Withdraw,Part Time,Sent_delta,Decision_delta,Waitlisted,Accepted,Pending,Rejected,ED,SP,grant yes,Attend Reported,Status_Final Reported,unranked,rank_cross,ED_school,ED_cross,SP_school,SP_cross,index,Major,Degree GPA,LSAT 2,LSAT 3,LSAT 1,LSDAS GPA,LSAT,Gender,State,Race2,Years out of Undergrad,group,public,college rank,tuition,groups,social sciences,arts & humanities,business & management,natural sciences,engineering,health professions,other,Athletic/Varsity,Community/Volunteer,Greek,Leadership,Legal Internship,Legal Work Experience,Military,Non-legal Internship,Non-legal Work Experience,Overseas,Strong Letters,Student Societies,EC at all,national_univ,national_lac,midwest_univ,western_univ,north_univ,hbcu,south_univ,western_college,midwest_college,south_college,eng_nodoctorate,north_college,Female,Male,south,west,northeast,midwest,1-2 Years,3-4 Years,In Undergrad,5-9 Years,10+ Years,white,asian and pacific islander,african,"Mixed, probably not urm",hispanic,mexican,puerto rican,Native American or alaskan,neutral,positive,bad,foreign,bad_school,Gender copy,major sum,stem & others,Ranked Nationally,Ranked Regionally,Described Positively,Described Negatively,Described Neutrally,College types reported,rank_2010_cp,unranked_2010,National top 5,National top 6-20,National top 21-50,National below 51,Law unranked,Law top 14,Law top 15-50,Law below 51,minority
42239,42239,1Lwannabe,Accepted  ,,,2007-03-08,,2006-11-26,,3.65,167.0,over 10 years,2006,Georgetown University,Georgetown University,15.0,"$57,576per year (full-time)","1,721","Washington, DC",Georgetown U,14.5,13.0,14.0,13.5,77.0,82.0,75.0,76.0,74.0,75.0,77.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,14.0,13.0,12.0,11.0,11.0,10.0,13.0,13.0,12.5,14.0,13.0,14.0,3,0,0,-1,-1,0,86.0,102.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1,3,0.0,14.0,1.0,0.0,0.0,0.0,41972,,,,,167.0,3.65,167.0,1.0,arizona,,,national_univ,0.0,5.0,"$57,208",,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,Male,0.0,,1.0,0.0,0.0,0.0,0.0,1.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
42240,42240,1Lwannabe,Accepted  ,,,2007-01-18,,2006-12-12,30000.0,3.65,167.0,over 10 years,2006,Vanderbilt University,Vanderbilt University,17.0,"$53,150per year (full-time)",572,"Nashville, TN",Vanderbilt U,16.5,16.5,15.5,16.5,76.0,77.0,74.0,72.0,72.0,73.0,75.0,15.0,17.0,17.0,18.0,17.0,17.0,17.0,17.0,17.0,17.5,16.5,15.0,,15.0,17.0,16.0,16.0,15.0,16.0,16.0,17.0,16.0,16.5,3,0,0,-1,-1,0,102.0,37.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-1,3,0.0,17.5,0.0,0.0,0.0,0.0,41972,,,,,167.0,3.65,167.0,1.0,arizona,,,national_univ,0.0,5.0,"$57,208",,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,Male,0.0,,1.0,0.0,0.0,0.0,0.0,1.0,17.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
42241,42241,1Lwannabe,Accepted  ,,,2007-01-18,,2006-11-26,,3.65,167.0,over 10 years,2006,George Washington University,George Washington University,30.0,"$56,244per year (full-time)","1,460","Washington, DC",George Washington U,20.5,20.5,21.5,21.0,71.0,71.0,66.0,65.0,65.0,63.0,69.0,20.0,28.5,20.0,24.0,24.5,27.5,23.0,21.0,20.5,20.0,22.5,20.0,,23.5,22.5,24.5,21.0,44.0,22.0,22.0,24.0,20.5,25.5,3,0,0,-1,-1,0,86.0,53.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1,3,0.0,20.0,0.0,0.0,0.0,0.0,41972,,,,,167.0,3.65,167.0,1.0,arizona,,,national_univ,0.0,5.0,"$57,208",,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,Male,0.0,,1.0,0.0,0.0,0.0,0.0,1.0,28.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
42242,42242,1Lwannabe,Accepted  ,,,2007-01-31,,2006-11-26,,3.65,167.0,over 10 years,2006,Boston College,Boston College,26.0,"$50,620per year (full-time)",723,"Newton, MA",Boston C,28.0,31.0,31.5,37.5,65.0,66.0,59.0,56.0,61.0,64.0,63.0,26.0,26.5,30.5,24.0,22.0,22.5,23.0,29.5,29.0,29.0,29.0,26.0,,20.0,,22.5,19.0,24.0,26.0,26.0,22.0,22.0,27.0,3,0,0,-1,-1,0,86.0,66.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1,3,0.0,29.0,1.0,0.0,1.0,0.0,41972,,,,,167.0,3.65,167.0,1.0,arizona,,,national_univ,0.0,5.0,"$57,208",,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,Male,0.0,,1.0,0.0,0.0,0.0,0.0,1.0,26.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
42243,42243,1Lwannabe,Accepted  ,,,2006-12-24,,2006-11-26,60000.0,3.65,167.0,over 10 years,2006,University of Arizona (Rogers),University of Arizona,48.0,"$25,525per year (in-state, full-time); $30,025per year (out-of-state, full-time)",364,"Tucson, AZ",U Arizona,44.0,43.0,39.0,40.5,59.0,60.0,56.0,55.0,56.0,57.0,59.0,39.5,43.5,44.0,38.5,41.5,41.0,44.0,44.5,43.5,46.0,44.5,39.5,,,,,,31.0,30.5,50.5,40.0,40.0,37.5,3,0,0,-1,-1,0,86.0,28.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,-1,3,0.0,46.0,1.0,0.0,0.0,0.0,41972,,,,,167.0,3.65,167.0,1.0,arizona,,,national_univ,0.0,5.0,"$57,208",,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,Male,0.0,,1.0,0.0,0.0,0.0,0.0,1.0,43.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
42248,42248,29yoengteacher,Rejected  ,,2006-10-28,2006-11-22,,2006-10-23,,3.14,156.0,over 10 years,2006,Fordham University,Fordham University,36.0,"$56,146per year (full-time)",993,"New York, NY",Fordham U,32.0,31.0,39.0,37.5,64.0,66.0,56.0,56.0,60.0,62.0,62.0,28.0,32.0,35.5,33.5,32.5,33.5,33.0,35.5,29.0,32.5,26.0,28.0,,,,,,33.5,33.0,28.0,26.0,26.5,41.0,1,0,0,0,-1,0,52.0,30.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,3,0.0,32.5,1.0,0.0,0.0,0.0,32251,english,3.45,,,156.0,3.14,156.0,1.0,new york,white,,,,,,neutral,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Male,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,32.0,0.0,,,,,0.0,0.0,1.0,0.0,0.0
42249,42249,29yoengteacher,Rejected  ,,2006-11-10,2007-01-05,,2006-10-23,,3.14,156.0,over 10 years,2006,Seton Hall University,Seton Hall University,57.0,"$52,022per year (full-time)",353,"Newark, NJ",Seton Hall U,63.5,72.0,66.0,69.5,50.0,48.0,44.0,43.0,46.0,45.0,47.0,66.5,80.5,74.5,,,,87.0,91.0,83.5,73.0,73.0,66.5,,,,,,,,,,,,1,0,0,0,-1,0,52.0,74.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,3,0.0,73.0,0.0,0.0,1.0,0.0,32251,english,3.45,,,156.0,3.14,156.0,1.0,new york,white,,,,,,neutral,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Male,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,80.5,0.0,,,,,0.0,0.0,0.0,1.0,0.0
42250,42250,29yoengteacher,Rejected  ,,2006-11-10,2007-03-28,,2006-10-23,,3.14,156.0,over 10 years,2006,Brooklyn Law School,Brooklyn Law School,88.0,"$1,526per credit (full-time)",814,"Brooklyn, NY",Brooklyn Law School,68.5,65.5,82.0,84.5,49.0,50.0,41.0,39.0,47.0,49.0,48.0,64.0,62.5,69.0,,,,61.0,69.0,60.0,58.5,62.5,64.0,,,,,,,,,,,,1,0,0,0,-1,0,52.0,156.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,3,0.0,58.5,1.0,0.0,0.0,0.0,32251,english,3.45,,,156.0,3.14,156.0,1.0,new york,white,,,,,,neutral,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Male,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,62.5,0.0,,,,,0.0,0.0,0.0,1.0,0.0
42251,42251,29yoengteacher,Rejected  ,,2006-11-10,2007-03-28,,2006-10-23,,3.14,156.0,over 10 years,2006,Brooklyn Law School,Brooklyn Law School,88.0,"$1,526per credit (full-time)",814,"Brooklyn, NY",Brooklyn Law School,68.5,65.5,82.0,84.5,49.0,50.0,41.0,39.0,47.0,49.0,48.0,64.0,62.5,69.0,,,,61.0,69.0,60.0,58.5,62.5,64.0,,,,,,,,,,,,1,0,0,0,-1,0,52.0,156.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,3,0.0,58.5,1.0,0.0,0.0,0.0,32251,english,3.45,,,156.0,3.14,156.0,1.0,new york,white,,,,,,neutral,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Male,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,62.5,0.0,,,,,0.0,0.0,0.0,1.0,0.0
42252,42252,29yoengteacher,Rejected  ,,2006-11-10,2007-03-28,,2006-10-23,,3.14,156.0,over 10 years,2006,Brooklyn Law School,Brooklyn Law School,88.0,"$1,526per credit (full-time)",814,"Brooklyn, NY",Brooklyn Law School,68.5,65.5,82.0,84.5,49.0,50.0,41.0,39.0,47.0,49.0,48.0,64.0,62.5,69.0,,,,61.0,69.0,60.0,58.5,62.5,64.0,,,,,,,,,,,,1,0,0,0,-1,0,52.0,156.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,3,0.0,58.5,1.0,0.0,0.0,0.0,32251,english,3.45,,,156.0,3.14,156.0,1.0,new york,white,,,,,,neutral,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Male,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,62.5,0.0,,,,,0.0,0.0,0.0,1.0,0.0
42253,42253,29yoengteacher,Rejected  ,,2006-11-10,2007-03-28,,2006-10-23,,3.14,156.0,over 10 years,2006,Brooklyn Law School,Brooklyn Law School,88.0,"$1,526per credit (full-time)",814,"Brooklyn, NY",Brooklyn Law School,68.5,65.5,82.0,84.5,49.0,50.0,41.0,39.0,47.0,49.0,48.0,64.0,62.5,69.0,,,,61.0,69.0,60.0,58.5,62.5,64.0,,,,,,,,,,,,1,0,0,0,-1,0,52.0,156.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,3,0.0,58.5,1.0,0.0,0.0,0.0,32251,english,3.45,,,156.0,3.14,156.0,1.0,new york,white,,,,,,neutral,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Male,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,62.5,0.0,,,,,0.0,0.0,0.0,1.0,0.0
42254,42254,29yoengteacher,Waitlisted  ,,,2007-02-20,,2006-10-23,,3.14,156.0,over 10 years,2006,Rutgers The State University of New Jersey,Rutgers State University Camden,62.0,"$27,269per year (in-state, full-time); $39,683per year (out-of-state, full-time)",873,"newark, NJ",Rutgers Camden,89.0,99.5,91.0,81.5,45.0,42.0,39.0,40.0,43.0,45.0,45.0,79.0,80.5,82.5,,,,80.5,74.0,66.5,67.0,73.0,79.0,,,,,,,,,,,,2,0,1,0,-1,0,52.0,120.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,0.0,67.0,0.0,0.0,0.0,0.0,32251,english,3.45,,,156.0,3.14,156.0,1.0,new york,white,,,,,,neutral,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Male,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,80.5,0.0,,,,,0.0,0.0,0.0,1.0,0.0
42255,42255,29yoengteacher,Waitlisted  ,,,2007-02-20,,2006-10-23,,3.14,156.0,over 10 years,2006,Rutgers The State University of New Jersey,Rutgers State University Camden,62.0,"$27,269per year (in-state, full-time); $39,683per year (out-of-state, full-time)",873,"newark, NJ",Rutgers Newark,89.0,85.0,87.0,84.5,45.0,45.0,40.0,39.0,43.0,43.0,45.0,79.0,90.0,82.5,,,,80.5,74.0,74.5,83.0,79.0,79.0,,,,,,,,,,,,2,0,1,0,-1,0,52.0,120.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,0.0,83.0,0.0,0.0,0.0,0.0,32251,english,3.45,,,156.0,3.14,156.0,1.0,new york,white,,,,,,neutral,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Male,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,90.0,0.0,,,,,0.0,0.0,0.0,1.0,0.0
42256,42256,29yoengteacher,Waitlisted  ,,2006-11-10,2007-03-08,,2006-10-23,,3.14,156.0,over 10 years,2006,Yeshiva University (Cardozo),Cardozo-Yeshiva University,65.0,"$56,796per year (full-time)",803.0,"New York, NY",Yeshiva U,51.5,56.0,59.0,65.5,54.0,54.0,46.0,44.0,49.0,54.0,53.0,56.5,49.5,52.5,,,,57.5,54.0,60.0,54.5,52.0,56.5,,,,,,,,,,,,2,0,1,0,-1,0,52.0,136.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,3,0.0,54.5,1.0,0.0,0.0,0.0,32251,english,3.45,,,156.0,3.14,156.0,1.0,new york,white,,,,,,neutral,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Male,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,49.5,0.0,,,,,0.0,0.0,1.0,0.0,0.0
42257,42257,29yoengteacher,Accepted  ,,2006-10-28,2006-12-22,,2006-10-23,,3.14,156.0,over 10 years,2006,Hofstra University (Deane),Hofstra University,118.0,"$55,860per year (full-time)",695,"Hempstead, NY",Hofstra U,89.0,92.0,115.0,137.5,45.0,44.0,32.0,28.0,39.0,40.0,44.0,99.0,98.0,88.5,,,,,91.0,97.0,,,99.0,,,,,,,,,,,,3,0,0,0,-1,0,52.0,60.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,3,1.0,,1.0,0.0,0.0,0.0,32251,english,3.45,,,156.0,3.14,156.0,1.0,new york,white,,,,,,neutral,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Male,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,98.0,0.0,,,,,0.0,0.0,0.0,1.0,0.0
42258,42258,29yoengteacher,Accepted  ,,2006-10-25,2006-12-11,,2006-10-23,,3.14,156.0,over 10 years,2006,New York Law School,New York Law School,112.0,"$49,240per year (full-time)",621,"New York, NY",New York Law School,137.0,137.0,,142.0,34.0,33.0,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,-1,0,52.0,49.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,3,1.0,,0.0,0.0,0.0,0.0,32251,english,3.45,,,156.0,3.14,156.0,1.0,new york,white,,,,,,neutral,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Male,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,1.0,,,,,1.0,0.0,0.0,0.0,0.0
42259,42259,29yoengteacher,Accepted  ,,2006-10-25,2006-12-11,,2006-10-23,,3.14,156.0,over 10 years,2006,New York Law School,New York Law School,112.0,"$49,240per year (full-time)",621,"New York, NY",New York Law School,137.0,137.0,,142.0,34.0,33.0,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,-1,0,52.0,49.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,3,1.0,,0.0,0.0,0.0,0.0,32251,english,3.45,,,156.0,3.14,156.0,1.0,new york,white,,,,,,neutral,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Male,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,1.0,,,,,1.0,0.0,0.0,0.0,0.0
42260,42260,29yoengteacher,Accepted  ,,2006-10-25,2006-12-11,,2006-10-23,,3.14,156.0,over 10 years,2006,New York Law School,New York Law School,112.0,"$49,240per year (full-time)",621,"New York, NY",New York Law School,137.0,137.0,,142.0,34.0,33.0,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,-1,0,52.0,49.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,3,1.0,,0.0,0.0,0.0,0.0,32251,english,3.45,,,156.0,3.14,156.0,1.0,new york,white,,,,,,neutral,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Male,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,1.0,,,,,1.0,0.0,0.0,0.0,0.0
42261,42261,29yoengteacher,Accepted  ,,2006-10-25,2006-12-11,,2006-10-23,,3.14,156.0,over 10 years,2006,New York Law School,New York Law School,112.0,"$49,240per year (full-time)",621,"New York, NY",New York Law School,137.0,137.0,,142.0,34.0,33.0,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,0,-1,0,52.0,49.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,3,1.0,,0.0,0.0,0.0,0.0,32251,english,3.45,,,156.0,3.14,156.0,1.0,new york,white,,,,,,neutral,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Male,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,1.0,,,,,1.0,0.0,0.0,0.0,0.0
42262,42262,29yoengteacher,Accepted  A,,2006-10-25,2006-12-20,,2006-10-23,28000.0,3.14,156.0,over 10 years,2006,Pace University (Haub),Pace University,120.0,"$46,284per year (full-time)",485,"White Plains, NY",Pace U,119.0,142.0,136.0,142.0,38.0,32.0,27.0,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,0,1,-1,0,52.0,58.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,3,1.0,,0.0,0.0,0.0,0.0,32251,english,3.45,,,156.0,3.14,156.0,1.0,new york,white,,,,,,neutral,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,,,,,,,,,,,,,0.0,1.0,0.0,0.0,1.0,0.0,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Male,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,1.0,,,,,1.0,0.0,0.0,0.0,0.0
42279,42279,4cat100,Rejected  ,2007-01-03,2007-01-12,2007-02-06,,2006-12-29,,3.67,162.0,about 10 years,2006,New York University,New York University,6.0,"$61,622per year (full-time)","1,369","New York, NY",New York U,6.0,6.0,6.0,6.0,89.0,92.0,89.0,88.0,85.0,87.0,87.0,5.0,5.0,6.0,4.0,5.0,5.0,5.0,5.0,5.0,4.5,4.0,5.0,9.0,6.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0,4.0,1,0,0,0,-1,0,119.0,39.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,3,0.0,4.5,1.0,0.0,0.0,0.0,5030,poli sci $ law $ society,3.62,,,162.0,3.67,162.0,0.0,california,,,,,,,neutral,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,Female,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,5.0,0.0,,,,,0.0,1.0,0.0,0.0,0.0
42280,42280,4cat100,Rejected  ,2007-01-10,2007-01-23,2007-03-16,,2007-01-09,,3.67,162.0,about 10 years,2006,University of Chicago,University of Chicago,4.0,"$59,541per year (full-time)",603,"Chicago, IL",U Chicago,5.0,5.0,4.5,4.5,90.0,93.0,92.0,92.0,80.0,84.0,88.0,7.5,6.5,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.5,7.5,6.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.5,6.0,1,0,0,0,-1,0,130.0,66.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,3,0.0,6.0,1.0,0.0,0.0,0.0,5030,poli sci $ law $ society,3.62,,,162.0,3.67,162.0,0.0,california,,,,,,,neutral,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,Female,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.5,0.0,,,,,0.0,1.0,0.0,0.0,0.0
42281,42281,4cat100,Rejected  ,2007-01-17,2007-01-22,2007-03-09,,2007-01-08,,3.67,162.0,about 10 years,2006,University of Washington,University of Washington,30.0,"$32,721per year (in-state, full-time); $44,112per year (out-of-state, full-time)",500,"Seattle, WA",U Washington,32.0,20.5,28.0,24.5,64.0,71.0,61.0,63.0,59.0,62.0,62.0,30.5,32.0,35.5,27.0,24.5,27.5,47.0,35.5,29.0,29.0,29.0,30.5,,,,22.5,,25.0,34.0,23.5,25.0,23.0,25.5,1,0,0,0,-1,0,129.0,60.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1,3,0.0,29.0,0.0,0.0,0.0,0.0,5030,poli sci $ law $ society,3.62,,,162.0,3.67,162.0,0.0,california,,,,,,,neutral,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,Female,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,32.0,0.0,,,,,0.0,0.0,1.0,0.0,0.0
